rank_steady,feature,gini_importance_steady,cumulative_importance_steady,rank_orig,gini_importance_orig,cumulative_importance_orig,rank_change,gini_change
1,h_eva_in[kJ/kg],0.3100149088126509,0.3100149088126509,8,0.037587224334778,0.6162245679093784,-7,0.2724276844778729
2,P_dis[bar],0.08440438813385086,0.3944192969465018,2,0.0802362779022337,0.3282128385347769,0,0.004168110231617159
3,P_gc_out[bar],0.08258045845653325,0.4769997554030351,4,0.0520087614845389,0.4500690315223317,-1,0.03057169697199435
4,Q_heat_s1[kW],0.05286222943721199,0.529861984840247,6,0.0448723640479421,0.5400335992006031,-2,0.007989865389269893
5,T_air_in[degC],0.0505716363701391,0.5804336212103861,9,0.0358431563805994,0.6520677242899778,-4,0.014728479989539703
6,Q_heat_s2[kW],0.039870539831337835,0.6203041610417239,5,0.0450922036303292,0.495161235152661,1,-0.0052216637989913675
7,h_gc_mid[kJ/kg],0.03827956106225003,0.658583722103974,1,0.2479765606325431,0.2479765606325431,6,-0.20969699957029309
8,T_eva_out[degC],0.03524256784309402,0.693826289947068,12,0.0317363764512903,0.7502893983797579,-4,0.00350619139180372
9,T_mid[degC],0.035199637325682605,0.7290259272727506,7,0.0386037443739972,0.5786373435746004,2,-0.003404107048314592
10,W_comp[kW],0.03399914784778798,0.7630250751205386,11,0.031846675515899,0.7185530219284676,-1,0.002152472331888977
11,P_gc_mid[bar],0.03252417196198783,0.7955492470825265,10,0.0346386221225907,0.6867063464125686,1,-0.002114450160602875
12,h_dis[kJ/kg],0.02793031001565934,0.8234795570981859,3,0.0698474315030158,0.3980602700377928,9,-0.04191712148735646
13,h_gc_out[kJ/kg],0.02358088807714905,0.847060445175335,15,0.0245240840143924,0.8277065971046291,-2,-0.0009431959372433497
14,P_suc[bar],0.02178558371454694,0.8688460288898819,17,0.0234670745520414,0.8749222038981068,-3,-0.00168149083749446
15,T_dis[degC],0.021350433369375303,0.8901964622592572,22,0.0175123751535574,0.9724308038615802,-7,0.0038380582158179036
16,T_eva_in[degC],0.01956846074536819,0.9097649230046254,19,0.02081882098133,0.9173888666499312,-3,-0.0012503602359618116
17,P_eva_out[bar],0.01647159952631904,0.9262365225309445,14,0.0256203829110686,0.8031825130902367,3,-0.00914878338474956
18,T_suc[degC],0.015745002173076693,0.9419815247040212,20,0.0188477609033724,0.9362366275533036,-2,-0.0031027587302957065
19,T_gc_mid[degC],0.015031954555330502,0.9570134792593517,18,0.0216478417704943,0.8965700456686011,1,-0.006615887215163799
20,P_eva_in[bar],0.01158155116490391,0.9685950304242555,16,0.0237485322414361,0.8514551293460654,4,-0.012166981076532189
21,Q_heat_total[kW],0.0113056111146738,0.9799006415389293,13,0.0272727317994101,0.7775621301791681,8,-0.015967120684736297
22,h_suc[kJ/kg],0.009392075933382848,0.9892927174723122,23,0.0145028306139756,0.9869336344755558,-1,-0.005110754680592753
23,T_gc_out[degC],0.00805279340786558,0.9973455108801778,21,0.018681801154719,0.9549184287080228,2,-0.010629007746853419
24,V_air_outdoor[m/s],0.001769966926507774,0.9991154778066855,24,0.0070175262019766,0.9939511606775324,0,-0.005247559275468826
25,COP[null],0.0008845221933145518,1.0,25,0.0060488393224676,1.0,0,-0.005164317129153048
26,m_dot[kg/s],0.0,1.0,26,0.0,1.0,0,0.0
27,V_air_indoor[kg/min],0.0,1.0,27,0.0,1.0,0,0.0
28,T_air_out[degC],0.0,1.0,28,0.0,1.0,0,0.0
29,T_amb[degC],0.0,1.0,29,0.0,1.0,0,0.0
30,h_eva_out[kJ/kg],0.0,1.0,30,0.0,1.0,0,0.0
