feature,importance,cumulative
SH_suc[K],0.47330575683776754,0.47330575683776754
T_app[K],0.11180893737580606,0.5851146942135736
T_dis[degC],0.07401656175228408,0.6591312559658578
eta_v[null],0.07227811863141313,0.7314093745972708
Valve_open[null],0.06521329808074894,0.7966226726780198
m_dot[kg/s],0.05327571292182972,0.8498983855998495
T_eva_in[degC],0.03255317844809893,0.8824515640479484
PR[null],0.02904919435548407,0.9115007584034325
eta_is[null],0.028013301752383646,0.9395140601558161
T_eva_out[degC],0.027336720243775415,0.9668507803995915
COP[null],0.021597848637374017,0.9884486290369655
SH_evap[K],0.011551370963034588,1.0
T_air_in[degC],0.0,1.0
V_air_indoor[kg/min],0.0,1.0
V_air_outdoor[m/s],0.0,1.0
