feature,mean,scale
P_suc[bar],14.916664065949933,1.1155995428320502
T_suc[degC],-28.04392090587508,1.9451909848681908
P_dis[bar],86.75391470569633,11.631464604814882
T_dis[degC],127.46204944815317,33.81471050782268
P_gc_mid[bar],86.53327084868657,11.591629263256818
T_gc_mid[degC],47.09411341206414,9.831980763920575
P_gc_out[bar],86.18248009926806,11.557774905905758
T_gc_out[degC],16.479877569025934,2.1817807034119823
P_eva_in[bar],16.528320987595936,0.8185359249488283
T_eva_in[degC],-25.545253404329923,1.4687174218367767
P_eva_out[bar],16.13434622075161,0.8826641135960873
T_eva_out[degC],-26.093895287043047,1.6353070322803098
W_comp[kW],2.1259411711426566,0.5589750357486084
Q_heat_s1[kW],2.056074374567637,0.5576419788250304
Q_heat_s2[kW],2.539067357982244,0.4370480272642697
Q_heat_total[kW],4.595141732549881,0.9765548617934519
COP[null],2.2422071583593697,0.32760933193644026
m_dot[kg/s],0.014264761176448553,0.0020594295121569455
T_air_in[degC],0.0,1.0
T_mid[degC],25.248310483964893,4.3876041089399616
T_air_out[degC],45.668691822624815,9.76792042547607
V_air_indoor[kg/min],6.0,1.0
V_air_outdoor[m/s],2.5,1.0
N_comp[rpm],4588.883266189724,998.612838199009
Valve_open[null],0.026229489192291212,0.0014950132477394421
SH_suc[K],0.6999017711581977,0.3323017835327852
SH_evap[K],0.2376510035168378,1.4748783282699554
T_app[K],16.479877569025934,2.1817807034119823
PR[null],5.886631744421176,1.0501674860376333
eta_is[null],0.7026016061126235,0.07454367124710767
eta_v[null],0.7311414664189133,0.06686732597149087
