number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout_rate,params_learning_rate,params_n_layers,params_n_units_per_layer,state
0,159.85690307617188,2026-05-11 18:27:08.555724,2026-05-11 18:27:37.076604,0 days 00:00:28.520880,relu,16,0.19415132991461612,0.003866837450706489,3,32,COMPLETE
1,160.5929718017578,2026-05-11 18:27:37.077608,2026-05-11 18:28:29.306639,0 days 00:00:52.229031,relu,32,0.05002589545301232,0.0002769599175945061,1,128,COMPLETE
2,158.9675750732422,2026-05-11 18:28:29.306639,2026-05-11 18:29:31.684938,0 days 00:01:02.378299,relu,16,0.05809723745463989,0.0005286723249622977,2,64,COMPLETE
3,162.81402587890625,2026-05-11 18:29:31.689995,2026-05-11 18:30:01.178985,0 days 00:00:29.488990,elu,32,0.11775496888285965,0.0010108039258231324,1,128,COMPLETE
4,163.68016052246094,2026-05-11 18:30:01.179992,2026-05-11 18:30:10.416176,0 days 00:00:09.236184,elu,32,0.22097776943730021,0.030681034632280876,1,32,COMPLETE
5,164.80130004882812,2026-05-11 18:30:10.416176,2026-05-11 18:30:20.425138,0 days 00:00:10.008962,relu,32,0.28056962835946203,0.028627421547586226,1,16,COMPLETE
6,158.99478149414062,2026-05-11 18:30:20.426145,2026-05-11 18:31:08.625910,0 days 00:00:48.199765,relu,16,0.11966904938489527,0.0006442017463969845,2,64,COMPLETE
7,159.0555419921875,2026-05-11 18:31:08.626910,2026-05-11 18:31:25.091992,0 days 00:00:16.465082,relu,32,0.016098816840547047,0.016228830917795173,2,32,COMPLETE
8,159.85061645507812,2026-05-11 18:31:25.091992,2026-05-11 18:31:35.703072,0 days 00:00:10.611080,relu,32,0.058598691629156936,0.029746581462059107,2,16,COMPLETE
9,160.51788330078125,2026-05-11 18:31:35.704075,2026-05-11 18:32:16.009595,0 days 00:00:40.305520,elu,32,0.296580616472071,0.00022417775861631386,3,128,COMPLETE
10,156.92437744140625,2026-05-11 18:32:16.010598,2026-05-11 18:32:56.801654,0 days 00:00:40.791056,elu,16,0.0015777140880022245,0.0039958052842948765,3,64,COMPLETE
11,157.22935485839844,2026-05-11 18:32:56.801654,2026-05-11 18:33:40.667865,0 days 00:00:43.866211,elu,16,0.0024920267180774417,0.004738368457833372,3,64,COMPLETE
12,156.1298828125,2026-05-11 18:33:40.667865,2026-05-11 18:34:56.062856,0 days 00:01:15.394991,elu,16,0.005410923394092237,0.004930750636908244,3,64,COMPLETE
13,159.31358337402344,2026-05-11 18:34:56.063861,2026-05-11 18:35:40.492022,0 days 00:00:44.428161,elu,16,0.09210400268346154,0.007973330179643048,3,64,COMPLETE
14,156.1703338623047,2026-05-11 18:35:40.493022,2026-05-11 18:36:44.607950,0 days 00:01:04.114928,elu,16,0.0005443147776374466,0.0018569521544368828,3,64,COMPLETE
15,160.00987243652344,2026-05-11 18:36:44.609294,2026-05-11 18:37:31.377722,0 days 00:00:46.768428,elu,16,0.1839505247984368,0.0014945976453300588,3,64,COMPLETE
16,157.1349334716797,2026-05-11 18:37:31.378725,2026-05-11 18:38:37.484564,0 days 00:01:06.105839,elu,16,0.03972858902787288,0.0022280038620722843,3,64,COMPLETE
17,159.25888061523438,2026-05-11 18:38:37.485564,2026-05-11 18:39:38.896646,0 days 00:01:01.411082,elu,16,0.08637347528361587,0.010463333825415465,2,64,COMPLETE
18,162.42901611328125,2026-05-11 18:39:38.896646,2026-05-11 18:41:20.429963,0 days 00:01:41.533317,elu,16,0.030633533287769302,0.00012581492897316795,3,16,COMPLETE
19,159.37124633789062,2026-05-11 18:41:20.430964,2026-05-11 18:41:52.840328,0 days 00:00:32.409364,elu,16,0.14633666236829604,0.0021244067988661895,3,64,COMPLETE
20,161.27151489257812,2026-05-11 18:41:52.841332,2026-05-11 18:42:13.278271,0 days 00:00:20.436939,elu,16,0.2516359172954863,0.007992386840338936,2,64,COMPLETE
21,157.20106506347656,2026-05-11 18:42:13.279272,2026-05-11 18:43:00.826042,0 days 00:00:47.546770,elu,16,0.00040530326208000373,0.004098990738638349,3,64,COMPLETE
22,157.8871612548828,2026-05-11 18:43:00.827047,2026-05-11 18:44:13.872181,0 days 00:01:13.045134,elu,16,0.08030360126139693,0.0010424360950517194,3,64,COMPLETE
23,157.50067138671875,2026-05-11 18:44:13.873185,2026-05-11 18:44:56.038785,0 days 00:00:42.165600,elu,16,0.02538616627190439,0.003492165771109455,3,64,COMPLETE
24,159.38565063476562,2026-05-11 18:44:56.039788,2026-05-11 18:45:15.396903,0 days 00:00:19.357115,elu,16,0.020174923002326373,0.013884251847762529,3,64,COMPLETE
25,158.7236328125,2026-05-11 18:45:15.398277,2026-05-11 18:46:03.441162,0 days 00:00:48.042885,elu,16,0.06886444822297881,0.005679727341690279,3,64,COMPLETE
26,158.7525177001953,2026-05-11 18:46:03.441162,2026-05-11 18:46:38.441247,0 days 00:00:35.000085,elu,16,0.004906495545077829,0.0025830013053248324,2,128,COMPLETE
27,158.09706115722656,2026-05-11 18:46:38.442252,2026-05-11 18:47:59.156215,0 days 00:01:20.713963,elu,16,0.11077541352080637,0.0012751064730667741,3,32,COMPLETE
28,161.35707092285156,2026-05-11 18:47:59.157220,2026-05-11 18:48:40.966602,0 days 00:00:41.809382,elu,16,0.04049184742735514,0.0005643503603974292,2,16,COMPLETE
29,158.09201049804688,2026-05-11 18:48:40.967603,2026-05-11 18:49:41.616589,0 days 00:01:00.648986,elu,16,0.1439008123342934,0.002945907804696141,3,32,COMPLETE
30,161.25244140625,2026-05-11 18:49:41.617589,2026-05-11 18:49:58.062690,0 days 00:00:16.445101,elu,16,0.18436514319063915,0.005587260134111725,3,64,COMPLETE
31,157.13743591308594,2026-05-11 18:49:58.063907,2026-05-11 18:50:49.133807,0 days 00:00:51.069900,elu,16,0.03587966188388508,0.0017024681389586393,3,64,COMPLETE
32,158.23406982421875,2026-05-11 18:50:49.134817,2026-05-11 18:51:33.041455,0 days 00:00:43.906638,elu,16,0.04339856672104437,0.002103768422081257,3,64,COMPLETE
33,158.73924255371094,2026-05-11 18:51:33.041455,2026-05-11 18:52:13.036131,0 days 00:00:39.994676,elu,16,0.018287509789024273,0.0007898621146550568,3,64,COMPLETE
34,157.06028747558594,2026-05-11 18:52:13.037131,2026-05-11 18:53:39.717353,0 days 00:01:26.680222,relu,16,0.05401310335019663,0.0003165155697514086,3,128,COMPLETE
35,157.99462890625,2026-05-11 18:53:39.718535,2026-05-11 18:55:15.706611,0 days 00:01:35.988076,relu,16,0.05214445455909081,0.0002922987210464456,2,128,COMPLETE
36,158.09567260742188,2026-05-11 18:55:15.707618,2026-05-11 18:56:07.114390,0 days 00:00:51.406772,relu,32,0.062348484338790276,0.000357283509548853,3,128,COMPLETE
37,161.3173370361328,2026-05-11 18:56:07.115398,2026-05-11 18:56:21.813234,0 days 00:00:14.697836,relu,16,0.015030817421242283,0.04442717495259418,1,128,COMPLETE
38,157.8203582763672,2026-05-11 18:56:21.814244,2026-05-11 18:58:07.690297,0 days 00:01:45.876053,relu,16,0.0009989905301947344,0.00011148456133128105,3,128,COMPLETE
39,161.77462768554688,2026-05-11 18:58:07.690297,2026-05-11 18:58:16.965837,0 days 00:00:09.275540,relu,32,0.10014898821313531,0.019649196213262096,3,128,COMPLETE
40,160.63320922851562,2026-05-11 18:58:16.966845,2026-05-11 18:58:33.643598,0 days 00:00:16.676753,relu,32,0.07290403751802342,0.009553464287327304,1,32,COMPLETE
41,158.59054565429688,2026-05-11 18:58:33.644603,2026-05-11 18:59:51.342040,0 days 00:01:17.697437,relu,16,0.04643548989461523,0.00016386393673261914,3,64,COMPLETE
42,157.27317810058594,2026-05-11 18:59:51.343047,2026-05-11 19:00:36.828242,0 days 00:00:45.485195,elu,16,0.031119205852780007,0.0034998910155228376,3,64,COMPLETE
43,157.35958862304688,2026-05-11 19:00:36.829248,2026-05-11 19:01:29.843426,0 days 00:00:53.014178,elu,16,0.014271397769416359,0.005913151075382954,3,16,COMPLETE
44,156.22665405273438,2026-05-11 19:01:29.844431,2026-05-11 19:03:08.032975,0 days 00:01:38.188544,relu,16,0.05426022562622552,0.00039946999832070454,3,64,COMPLETE
45,157.97108459472656,2026-05-11 19:03:08.033978,2026-05-11 19:03:59.753140,0 days 00:00:51.719162,relu,16,0.13086244526689816,0.00042036784373320206,3,128,COMPLETE
46,157.25856018066406,2026-05-11 19:03:59.754145,2026-05-11 19:04:59.922011,0 days 00:01:00.167866,relu,16,0.163832163847386,0.0007140397284968248,3,64,COMPLETE
47,160.09693908691406,2026-05-11 19:04:59.923020,2026-05-11 19:05:52.887604,0 days 00:00:52.964584,relu,32,0.0564889237768093,0.00016325537187738057,2,64,COMPLETE
48,159.23770141601562,2026-05-11 19:05:52.888608,2026-05-11 19:07:26.092334,0 days 00:01:33.203726,relu,16,0.013371544610051403,0.0004332703143376937,3,16,COMPLETE
49,161.3849334716797,2026-05-11 19:07:26.093361,2026-05-11 19:07:52.739822,0 days 00:00:26.646461,relu,16,0.2185344567148213,0.00022029357742573208,2,64,COMPLETE
